bio_replica	sample	fq1	fq2	read_count	base_count	fq1_bytes	fq2_bytes	fq1_md5	fq2_md5	frac	read_count_frac	analyse
52V5	SRR5558260	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558260/SRR5558260_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558260/SRR5558260_2.fastq.gz	6864821	2073175942	696.548638343811	696.768232345581	b152650e0275a387af9e56e8d4c6e8a2	065b210c6f2288077f3f516c24b6bdcd	0.44	3020522	TRUE
52V3	SRR5558261	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/001/SRR5558261/SRR5558261_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/001/SRR5558261/SRR5558261_2.fastq.gz	7710050	2328435100	780.6927642822266	781.1765718460083	d64a688a8e5f17d742cdf52fe40a66d1	f716994bf7f4d4ae4c9cecc28af4bc8a	0.4	3084020	TRUE
52V3	SRR5558262	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/002/SRR5558262/SRR5558262_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/002/SRR5558262/SRR5558262_2.fastq.gz	2929242	880964680	241.98155975341797	253.1821699142456	6427315aadd861d552ca76125bcf185d	a315d3962cf1b8217cef244fc7fd492a	1	2929242	TRUE
52V3	SRR5558263	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/003/SRR5558263/SRR5558263_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/003/SRR5558263/SRR5558263_2.fastq.gz	2935353	882829520	240.76235103607178	256.4665765762329	586ab67bde6dac94fef43709886c26b5	2e3630a359c1960c8c3a5166733654cf	1	2935353	TRUE
52V3	SRR5558264	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/004/SRR5558264/SRR5558264_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/004/SRR5558264/SRR5558264_2.fastq.gz	2965688	892067094	245.4865951538086	256.76377868652344	d77f6db75449bd713d18ba616e549c76	aa417e8e0d8ef6a91e05527929da6ec9	1	2965688	TRUE
52V1	SRR5558265	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/005/SRR5558265/SRR5558265_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/005/SRR5558265/SRR5558265_2.fastq.gz	2292562	689604999	191.07455444335937	200.95427989959717	77dc48fdd6a25c0c9799694a33599707	893b86ee8b2ecd8a58946c16caaa201f	1	2292562	TRUE
52V1	SRR5558266	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/006/SRR5558266/SRR5558266_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/006/SRR5558266/SRR5558266_2.fastq.gz	2294522	690231380	190.0857639312744	203.22667598724365	fcf2188572306547713af27eb022a304	9b69b1d5aceeebdc1bb9b2e1b04ef737	1	2294522	TRUE
52V1	SRR5558267	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/007/SRR5558267/SRR5558267_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/007/SRR5558267/SRR5558267_2.fastq.gz	2316844	697035361	193.44666004180908	203.32992553710937	4945e59322b9f0fe987df412ef6e87e1	525d14cae0307876e5d0759a96e80639	1	2316844	TRUE
52V1	SRR5558268	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/008/SRR5558268/SRR5558268_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/008/SRR5558268/SRR5558268_2.fastq.gz	2300548	692170464	191.32619857788086	203.0855255126953	aad6261eab22a1f34f9405669390de5b	8efbd4e7780040d81a77c7cee1c02aac	1	2300548	TRUE
47V5	SRR5558269	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5558269/SRR5558269_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5558269/SRR5558269_2.fastq.gz	2885193	868003534	239.68222904205322	255.71526527404785	32c634cbff122911f4c8f981f23ba3d0	0d1cd3888eef201eb2d95f40fec2e1ab	1	2885193	TRUE
5V5	SRR5558270	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558270/SRR5558270_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558270/SRR5558270_2.fastq.gz	3440557	1034634732	285.41718578338623	299.50574684143066	432525443ed6e6bfb419f3323148a84c	a68e18881a8edddf7459690308fe7cc4	1	3440557	TRUE
6V1	SRR5558271	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/001/SRR5558271/SRR5558271_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/001/SRR5558271/SRR5558271_2.fastq.gz	8805072	2659131744	834.140604019165	851.3897256851196	3545e4ffa6545e2067d5718baf689981	072943be485dcb4d15ce669316192968	0.35	3081776	FALSE
47V3	SRR5558272	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/002/SRR5558272/SRR5558272_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/002/SRR5558272/SRR5558272_2.fastq.gz	2726848	820082294	227.04527187347412	244.4597692489624	668187ac865553898a2c4d90fc30c0e6	8adb03be2ed4caa8a54a8c41e3d55ce7	1	2726848	TRUE
43V3	SRR5558273	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/003/SRR5558273/SRR5558273_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/003/SRR5558273/SRR5558273_2.fastq.gz	2504383	753000378	207.67272853851318	222.21783924102783	281c47b14190f1ab22710b9d670f2c83	af77786f3f8421e5ecc0d690c7b2231b	1	2504383	TRUE
43V3	SRR5558274	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/004/SRR5558274/SRR5558274_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/004/SRR5558274/SRR5558274_2.fastq.gz	2507915	754022191	209.24934005737305	219.98222541809082	268f90b3f4793d93373713a225ec77a4	f615a845a5526ee4c2d4e64fc012a617	1	2507915	TRUE
43V3	SRR5558275	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/005/SRR5558275/SRR5558275_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/005/SRR5558275/SRR5558275_2.fastq.gz	2510708	755047561	209.09173965454102	222.0513401031494	46ecdea6c37731f9675d37b1e0474358	5e545b662f486c49a2924b3586e9a194	1	2510708	TRUE
43V3	SRR5558276	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/006/SRR5558276/SRR5558276_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/006/SRR5558276/SRR5558276_2.fastq.gz	2540698	764011818	212.45317554473877	223.2079315185547	36288f2cd906718f597ec09d712271a5	bfc1773396b7cfb3210ed5c491f8cfa0	1	2540698	TRUE
43V5	SRR5558277	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/007/SRR5558277/SRR5558277_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/007/SRR5558277/SRR5558277_2.fastq.gz	3423919	1029471653	283.6354923248291	297.67803382873535	e3f37a28fe7db59f8735b7aa542e3b01	c645b136e9608be36c1c4c8a7817e168	1	3423919	TRUE
43V5	SRR5558278	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/008/SRR5558278/SRR5558278_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/008/SRR5558278/SRR5558278_2.fastq.gz	8899192	2687555984	902.0551853179932	906.7586803436279	16cff244543103761adeabfaea050e09	1e00a751519a91ab61440727456a907e	0.34	3025726	TRUE
43V5	SRR5558279	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5558279/SRR5558279_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/009/SRR5558279/SRR5558279_2.fastq.gz	3465176	1042068359	287.5841360092163	301.7265958786011	145523dcc9451f4e4e6953c26a4dfc83	805b3d2a77469358c1f16e17ebb7ac46	1	3465176	TRUE
43V5	SRR5558280	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558280/SRR5558280_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/000/SRR5558280/SRR5558280_2.fastq.gz	3435754	1033091646	282.6823778152466	302.0389070510864	c91b703d04cad4ab65f6286542157eaa	a3a01fbf0a6c251ee17cb518a20d8e5e	1	3435754	TRUE
44V1	SRR5558281	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/001/SRR5558281/SRR5558281_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/001/SRR5558281/SRR5558281_2.fastq.gz	8223581	2483521462	786.585823059082	803.3026647567749	9ac6968625c072e70fd3387ad153c85e	709d5604bdccfb72b0627418e2d4128b	0.37	3042725	FALSE
43V5	SRR5558282	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/002/SRR5558282/SRR5558282_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/002/SRR5558282/SRR5558282_2.fastq.gz	3444654	1035959171	284.6405210494995	301.77946281433105	f52831509692dce6494a5c1919b24eaa	efc8c01fa93ebe742964a1d19e1303a5	1	3444654	TRUE
9V5	SRR5558283	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/003/SRR5558283/SRR5558283_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/003/SRR5558283/SRR5558283_2.fastq.gz	10745252	3245066104	996.5366506576538	1047.3247394561768	d5522e98552ee8878ecfbac1dd80d3fc	014ab5c07d1ce10dee84430d6d5d034a	0.28	3008671	TRUE
9V5	SRR5558284	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/004/SRR5558284/SRR5558284_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/004/SRR5558284/SRR5558284_2.fastq.gz	17202068	5195024536	1552.9388208389282	1721.3883752822876	3ba030d6aa2573a2517bbb94872870c1	0ffbe2709ca0eb3c3e0e2a1170835bc0	0.18	3096373	TRUE
34V5	SRR5558285	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/005/SRR5558285/SRR5558285_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/005/SRR5558285/SRR5558285_2.fastq.gz	3307671	995159898	274.717737197876	293.5529251098633	456ada071dbde3169b17b268b7dfbda2	dc8f660529e47e04a8119f2151912074	1	3307671	TRUE
34V5	SRR5558286	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/006/SRR5558286/SRR5558286_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/006/SRR5558286/SRR5558286_2.fastq.gz	3325612	1000513142	277.5379581451416	293.5181312561035	be44f2198e2cef25277d13f8f5a8ffef	6aad4f54f3e7f5efa4983b796890331a	1	3325612	TRUE
35V1	SRR5558287	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/007/SRR5558287/SRR5558287_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR555/007/SRR5558287/SRR5558287_2.fastq.gz	2755926	828787435	228.82125186920166	241.4723014831543	efa5c80ab925fdf5d4a5dc4eb1ba1cc6	ca2d3fefd2dcedfa5c1d9dcc782f570c	1	2755926	TRUE
